'Simulation','Policy','n_Public_Ambulance','n_Private_Ambulance','n_Car','PatientProbability','Patients_Created','Public_Ambulance_Saved','Private_Ambulance_Saved','Car_Saved','Dead','Alive','Public_Ambulance_Cost','Private_Ambulance_Cost','Total_Cost'
'Simulation 146',1,5,0,0,0.2,1987,1948,0,0,36,3,50000,0,50000
'Simulation 147',1,5,0,0,0.2,1979,1960,0,0,12,7,50000,0,50000
'Simulation 148',1,5,0,0,0.2,2063,2023,0,0,33,7,50000,0,50000
'Simulation 149',1,5,0,0,0.2,2006,1981,0,0,18,7,50000,0,50000
'Simulation 150',1,5,0,0,0.2,2024,1991,0,0,22,11,50000,0,50000
'Simulation 151',1,5,0,0,0.2,1985,1937,0,0,41,7,50000,0,50000
'Simulation 152',1,5,0,0,0.2,2000,1958,0,0,32,10,50000,0,50000
'Simulation 153',1,5,0,0,0.2,2088,2031,0,0,50,7,50000,0,50000
'Simulation 154',1,5,0,0,0.2,1961,1932,0,0,20,9,50000,0,50000
'Simulation 155',1,5,0,0,0.2,1978,1947,0,0,28,3,50000,0,50000
'Simulation 156',1,5,0,0,0.2,1996,1973,0,0,14,9,50000,0,50000
'Simulation 157',1,5,0,0,0.2,1966,1938,0,0,22,6,50000,0,50000
'Simulation 158',1,5,0,0,0.2,2056,2024,0,0,28,4,50000,0,50000
'Simulation 159',1,5,0,0,0.2,2012,1978,0,0,26,8,50000,0,50000
'Simulation 160',1,5,0,0,0.2,2037,2001,0,0,30,6,50000,0,50000
'AveragedSim',1,5.0,0.0,0.0,0.2,2008.4,1973.45,0.0,0.0,28.1,6.85,50000.0,0.0,50000.0
'Simulation 161',1,5,0,0,0.5,5018,3151,0,0,1833,34,50000,0,50000
'Simulation 162',1,5,0,0,0.5,5075,3236,0,0,1806,33,50000,0,50000
'Simulation 163',1,5,0,0,0.5,4991,3143,0,0,1817,31,50000,0,50000
'Simulation 164',1,5,0,0,0.5,4975,3224,0,0,1727,24,50000,0,50000
'Simulation 165',1,5,0,0,0.5,4951,3373,0,0,1553,25,50000,0,50000
'Simulation 166',1,5,0,0,0.5,4963,3045,0,0,1884,34,50000,0,50000
'Simulation 167',1,5,0,0,0.5,4987,3114,0,0,1845,28,50000,0,50000
'Simulation 168',1,5,0,0,0.5,5028,3259,0,0,1740,29,50000,0,50000
'Simulation 169',1,5,0,0,0.5,4905,3108,0,0,1756,41,50000,0,50000
'Simulation 170',1,5,0,0,0.5,5098,3025,0,0,2044,29,50000,0,50000
'Simulation 171',1,5,0,0,0.5,5029,3440,0,0,1561,28,50000,0,50000
'Simulation 172',1,5,0,0,0.5,4913,3027,0,0,1845,41,50000,0,50000
'Simulation 173',1,5,0,0,0.5,4990,3207,0,0,1749,34,50000,0,50000
'Simulation 174',1,5,0,0,0.5,4980,3221,0,0,1729,30,50000,0,50000
'Simulation 175',1,5,0,0,0.5,5087,3417,0,0,1637,33,50000,0,50000
'Simulation 176',1,5,0,0,0.5,5017,3355,0,0,1644,18,50000,0,50000
'Simulation 177',1,5,0,0,0.5,4979,3130,0,0,1805,44,50000,0,50000
'Simulation 178',1,5,0,0,0.5,4972,3221,0,0,1724,27,50000,0,50000
'Simulation 179',1,5,0,0,0.5,5083,2949,0,0,2104,30,50000,0,50000
'Simulation 180',1,5,0,0,0.5,4917,3402,0,0,1490,25,50000,0,50000
'AveragedSim',1,5.0,0.0,0.0,0.5,4997.9,3202.35,0.0,0.0,1764.65,30.9,50000.0,0.0,50000.0
'Simulation 181',1,6,0,0,0.15,1472,1465,0,0,1,6,60000,0,60000
'Simulation 182',1,6,0,0,0.15,1466,1458,0,0,0,8,60000,0,60000
'Simulation 183',1,6,0,0,0.15,1532,1528,0,0,0,4,60000,0,60000
'Simulation 184',1,6,0,0,0.15,1438,1433,0,0,0,5,60000,0,60000
'Simulation 185',1,6,0,0,0.15,1454,1450,0,0,0,4,60000,0,60000
'Simulation 186',1,6,0,0,0.15,1483,1479,0,0,0,4,60000,0,60000
