'Simulation','Policy','n_Public_Ambulance','n_Private_Ambulance','n_Car','PatientProbability','Patients_Created','Public_Ambulance_Saved','Private_Ambulance_Saved',SaveRate,'Car_Saved','Dead','Alive','Public_Ambulance_Cost','Private_Ambulance_Cost','Total_Cost'
'Simulation 17',1,3,2,0,0.25,1234,330,232,0.455429498,0,646,26,15000,24400,39400
'Simulation 18',1,3,2,0,0.25,1246,336,248,0.468699839,0,632,30,15000,25100,40100
'AveragedSim',1,3,2,0,0.25,1244.333333,325.6666667,226.6666667,0.443878918,0,665,27,15000,24633.33333,39633.33333
'Simulation 19',1,3,2,0,0.3,1516,301,203,0.332453826,0,983,29,15000,29700,44700
'Simulation 20',1,3,2,0,0.3,1565,274,208,0.30798722,0,1047,36,15000,30700,45700
'Simulation 21',1,3,2,0,0.3,1491,283,168,0.302481556,0,1009,31,15000,29400,44400
'AveragedSim',1,3,2,0,0.3,1524,286,193,0.314304462,0,1013,32,15000,29933.33333,44933.33333
'Simulation 22',1,3,2,0,0.35,1715,227,180,0.237317784,0,1268,40,15000,33700,48700
'Simulation 23',1,3,2,0,0.35,1813,246,158,0.22283508,0,1372,37,15000,34600,49600
'Simulation 24',1,3,2,0,0.35,1747,264,145,0.234115627,0,1295,43,15000,33550,48550
'AveragedSim',1,3,2,0,0.35,1758.333333,245.6666667,161,0.231279621,0,1311.666667,40,15000,33950,48950
'Simulation 25',1,3,2,0,0.4,1972,179,121,0.152129817,0,1635,37,15000,36800,51800
'Simulation 26',1,3,2,0,0.4,2035,194,116,0.152334152,0,1687,38,15000,38100,53100
'Simulation 27',1,3,2,0,0.4,1973,183,133,0.16016219,0,1617,40,15000,38150,53150
'AveragedSim',1,3,2,0,0.4,1993.333333,185.3333333,123.3333333,0.154849498,0,1646.333333,38.33333333,15000,37683.33333,52683.33333
'Simulation 28',1,3,2,0,0.45,2266,179,112,0.128420124,0,1925,50,15000,41300,56300
'Simulation 29',1,3,2,0,0.45,2262,210,131,0.150751547,0,1874,47,15000,42450,57450
'Simulation 30',1,3,2,0,0.45,2266,181,115,0.130626655,0,1920,50,15000,41750,56750
'AveragedSim',1,3,2,0,0.45,2264.666667,190,119.3333333,0.13659111,0,1906.333333,49,15000,41833.33333,56833.33333
'Simulation 31',1,3,2,0,0.5,2517,186,122,0.122367898,0,2154,55,15000,44300,59300
'Simulation 32',1,3,2,0,0.5,2476,172,97,0.108642973,0,2154,53,15000,43200,58200
'Simulation 33',1,3,2,0,0.5,2491,206,134,0.136491369,0,2095,56,15000,45400,60400
'AveragedSim',1,3,2,0,0.5,2494.666667,188,117.6666667,0.12252806,0,2134.333333,54.66666667,15000,44300,59300
'Simulation 34',1,3,2,0,0.55,2748,167,101,0.097525473,0,2426,54,15000,47900,62900
'Simulation 35',1,3,2,0,0.55,2796,175,105,0.100143062,0,2457,59,15000,47750,62750
'Simulation 36',1,3,2,0,0.55,2737,157,93,0.091340884,0,2422,65,15000,48750,63750
'AveragedSim',1,3,2,0,0.55,2760.333333,166.3333333,99.66666667,0.096365173,0,2435,59.33333333,15000,48133.33333,63133.33333
'Simulation 37',1,3,2,0,0.6,2914,146,97,0.083390528,0,2607,64,15000,50100,65100
'Simulation 38',1,3,2,0,0.6,3000,144,95,0.079666667,0,2696,65,15000,51000,66000
'Simulation 39',1,3,2,0,0.6,3026,131,99,0.076007931,0,2734,62,15000,52300,67300
'AveragedSim',1,3,2,0,0.6,2980,140.3333333,97,0.079642058,0,2679,63.66666667,15000,51133.33333,66133.33333
'Simulation 40',1,3,2,0,0.65,3294,140,87,0.068913175,0,2998,69,15000,52800,67800
'Simulation 41',1,3,2,0,0.65,3293,153,82,0.071363498,0,2989,69,15000,54050,69050
'Simulation 42',1,3,2,0,0.65,3294,127,84,0.064055859,0,3017,66,15000,54350,69350
'AveragedSim',1,3,2,0,0.65,3293.666667,140,84.33333333,0.068110515,0,3001.333333,68,15000,53733.33333,68733.33333
'Simulation 43',1,3,2,0,0.7,3517,126,81,0.05885698,0,3234,76,15000,56350,71350
'Simulation 44',1,3,2,0,0.7,3474,128,83,0.060736903,0,3190,73,15000,55450,70450
'Simulation 45',1,3,2,0,0.7,3526,119,80,0.05643789,0,3247,80,15000,53950,68950
'AveragedSim',1,3,2,0,0.7,3505.666667,124.3333333,81.33333333,0.05866692,0,3223.666667,76.33333333,15000,55250,70250
